FID,Shape *,KI_HIEU,TEN_CHO,DIEN_TICH,KINH_DOANH,buffer,Lng,Lat
0,Point,C01,BE1N THA⮻NH,13056,1454,500,106.6983,10.77202
1,Point,C02,AN,25000,2246,500,106.67225,10.75752
2,Point,C03,TA3N TNNH,2000,710,500,106.68973,10.78952
3,Point,C04,TO4N THAHT,2400,300,500,106.70303,10.77173
4,Point,C05,BA5 CHIEHU,8357,1404,500,106.69857,10.8021
5,Point,C06,B0NH TAEY,16000,2000,500,106.651,10.74987
6,Point,C07,TA7N BANH,20000,2400,500,106.6535,10.78612
7,Point,C08,DA8N SINH,6400,405,500,106.69748,10.76658
8,Point,C09,TA9N THAHNH,0,815,500,106.65613,10.756
9,Point,C10,KIM BIEAN,1800,409,500,106.65583,10.7492
10,Point,C11,PHA,10000,1500,500,106.66297,10.7942
11,Point,C12,AN LA C,0,600,500,106.6197,10.74213
12,Point,C13,PHU,4000,697,500,106.6312,10.75507
13,Point,C15,CA5U MUOMI,0,0,500,106.69454,10.76602
14,Point,C16,SOA,0,0,500,106.65503,10.7521
