FID,Shape,ID,TenKCN,Dientich,Lng,Lat,Loaihinh,buffer,buffermete
0,Point,1,KCN Vinh Louc,256,106.594,10.8228,KCN,2,2000
1,Point,2,KCN Tann Tauo,391,106.596,10.7417,KCN,2,2000
2,Point,3,KCN Tann Banh,110,106.625,10.8061,KCN,2,2000
17,Point,4,KCX Linh Trung II,62,106.723,10.8912,KCX,3,3000
3,Point,5,KCX Linh Trung I,60,106.771,10.8681,KCX,3,3000
4,Point,6,KCN Cant Laui,112,106.778,10.7615,KCN,2,2000
5,Point,7,KCX Tann Thua,300,106.742,10.7699,KCX,3,3000
6,Point,8,KCN Hienp Pha,2000,106.762,10.6134,KCN,2,2000
7,Point,9,KCN Lee Minh Xua,900,106.537,10.7483,KCN,2,2000
8,Point,10,KCN Taen Phu  Trung,543,106.554,10.9219,KCN,2,2000
9,Point,11,KCN Taen Quy,400,106.614,10.9784,KCN,2,2000
10,Point,12,KCN Taey Bayc Cuu Ch,380,106.485,10.9826,KCN,2,2000
11,Point,13,KCN Taen Thyci HieCp,29,106.645,10.8924,KCN,2,2000
12,Point,14,KCN Banh Chieiu,28,106.733,10.8829,KCN,2,2000
13,Point,15,Khu conng ngheu cao,911,106.797,10.8588,KCN cao,0,1000
14,Point,16,KCN Phu,175,106.813,10.7839,KCN,2,2000
15,Point,17,KCN Phong Phu,154,106.628,10.6931,KCN,2,2000
16,Point,18,KCN Hooa DPhuc,200,106.471,10.9961,KCN,2,2000
